Name,Publisher,Total_shipped,Total_sales,Date
Dark Souls III,Bandai Namco Entertainment,10.00m,N/A,12th Apr 16
Far Cry 3,Ubisoft,10.00m,N/A,04th Dec 12
Far Cry 4,Ubisoft,10.00m,N/A,18th Nov 14
Far Cry 5,Ubisoft,10.00m,N/A,27th Mar 18
FIFA 10,EA Sports,10.00m,N/A,20th Oct 09
FIFA 12,EA Sports,10.00m,N/A,27th Sep 11
Final Fantasy XV,Square Enix,10.00m,N/A,29th Nov 16
Horizon: Zero Dawn,Sony Interactive Entertainment,10.00m,N/A,28th Feb 17
It Takes Two,Electronic Arts,10.00m,N/A,26th Mar 21
Just Dance 2    Read the review,Ubisoft,10.00m,N/A,12th Oct 10
Just Dance 3,Ubisoft,10.00m,N/A,07th Oct 11
Killing Floor,Tripwire Interactive,10.00m,N/A,14th May 09
Marvel vs. Capcom,Capcom,10.00m,N/A,01st Dec 96
Monster Hunter World: Iceborne,Capcom,10.00m,N/A,06th Sep 19
MX vs. ATV,THQ Nordic,10.00m,N/A,05th Feb 01
NBA 2K18,2K Sports,10.00m,N/A,19th Sep 17
NBA 2K22,2K Sports,10.00m,N/A,10th Sep 21
Pitfall,Activision,10.00m,N/A,20th Apr 82
