Name,Platform,Publisher,Global Sales,Date de sortie
FIFA 19,Playstation,Electronic Arts,,2018.0
Pokémon: Ultra Sun and Ultra Moon,DS,Nintendo,9.12,2017.0
Super Mario 3D All-Stars    Read the review,NS,Nintendo,9.07,2020.0
Rust,PC,Facepunch Studios,9.02,2018.0
Assassin's Creed II,Series,Ubisoft,9.00,2009.0
Battlefield: Bad Company 2,Series,Electronic Arts,9.00,2010.0
Harry Potter and the Chamber of Secrets,Series,Electronic Arts,9.00,2002.0
Payday,All,Daybreak Games,9.00,2011.0
Silent Hill,All,Konami,9.00,1999.0
Star Wars Battlefront II (2017),All,Electronic Arts,9.00,2017.0
The Experience,All,Ubisoft,9.00,2010.0
Ninja Gaiden,Series,Tecmo,8.96,1988.0
Need for Speed: Undercover,All,Electronic Arts,8.90,2008.0
The Elder Scrolls V: Skyrim,Xbox,Bethesda Softworks,,2011.0
Xeno,Series,Square,8.85,1998.0
Mario Party 8,Wii,Nintendo,8.85,2007.0
Megami Tensei,Series,Atlus,8.80,2004.0
Monster Hunter Generations,All,Capcom,8.80,2016.0
Super Mario Kart,Nintendo,Nintendo,8.76,1992.0
Grand Theft Auto V,Xbox,Rockstar Games,,2014.0
Naruto Shippuden: Ultimate Ninja Storm 4,All,Bandai Namco Entertainment,8.70,2016.0
The Legend of Zelda: Twilight Princess,All,Nintendo,8.69,2006.0
Nintendo Switch Sports    Read the review,NS,Nintendo,8.61,2022.0
Final Fantasy VIII,Playstation,Square EA,8.60,1999.0
Final Fantasy X,Playstation,Square,8.60,2001.0
Monument Valley,Series,Ustwo Games,8.59,2014.0
Pokémon Black 2 and White 2    Read the review,DS,Nintendo,8.52,2012.0
NBA 2K17,Series,2K Sports,8.50,2016.0
Onimusha,All,Capcom,8.50,2001.0
Call of Duty: Infinite Warfare,Playstation,Activision,,2016.0
